0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.7822265625,0.189453125,0.1220703125,0.4189453125,0.048828125,0.087890625,0.0234375,0.0205078125,0.1806640625,0.0751953125,0.0615234375,0.220703125,0.1787109375,0.1044921875,0.00390625,0.01953125,0.0166015625,0.0458984375,0.0380859375,0.2314453125,0.048828125,0.060546875,0.3408203125,0.0341796875,0.072265625,0.4091796875,0.001953125,0.072265625,0.376953125,0.03125,0.0703125,0.01171875,0.2333984375,0.037109375,0.0400390625,0.041015625,0.0126953125,0.0068359375,0.2021484375,0.0322265625,0.056640625,0.0625,0.0048828125,0.263671875,0.0263671875,0.1826171875,0.0849609375,0.224609375,0.1875,0.0693359375
0.189453125,0.771484375,0.0732421875,0.236328125,0.005859375,0.05078125,0.033203125,0.068359375,0.0234375,0.0400390625,0.2158203125,0.1220703125,0.1923828125,0.03515625,0.03125,0.0166015625,0.08203125,0.01953125,0.0224609375,0.09375,0.0146484375,0.0283203125,0.0673828125,0.0146484375,0.0048828125,0.2392578125,0.0068359375,0.1171875,0.029296875,0.0263671875,0.1845703125,0.044921875,0.0654296875,0.01953125,0.0849609375,0.0302734375,0.0380859375,0.00390625,0.017578125,0.1162109375,0.0771484375,0.0166015625,0.017578125,0.0732421875,0.04296875,0.1171875,0.1064453125,0.05078125,0.029296875,0.001953125
0.1220703125,0.0732421875,0.7314453125,0.0947265625,0.3701171875,0.2001953125,0.0048828125,0.0712890625,0.25390625,0.0546875,0.005859375,0.2333984375,0.0107421875,0.294921875,0.015625,0.02734375,0.0029296875,0.09765625,0.013671875,0.0791015625,0.033203125,0.0068359375,0.365234375,0.0107421875,0.021484375,0.25,0.0380859375,0.2705078125,0.0126953125,0.0712890625,0.1044921875,0.0322265625,0.423828125,0.052734375,0.005859375,0.0126953125,0.015625,0.0166015625,0.1435546875,0.095703125,0.0341796875,0.0517578125,0.1259765625,0.01171875,0.021484375,0.271484375,0.1943359375,0.0263671875,0.423828125,0.126953125
0.4189453125,0.236328125,0.0947265625,0.76953125,0.021484375,0.0302734375,0.0556640625,0.0380859375,0.0732421875,0.0078125,0.08203125,0.2138671875,0.2001953125,0.064453125,0.00390625,0.0146484375,0.0234375,0.009765625,0.0546875,0.2353515625,0.01171875,0.0263671875,0.1826171875,0.0771484375,0.0146484375,0.1787109375,0.0,0.087890625,0.287109375,0.0068359375,0.1455078125,0.0205078125,0.2041015625,0.0087890625,0.005859375,0.0244140625,0.0078125,0.005859375,0.0673828125,0.087890625,0.0322265625,0.0361328125,0.0166015625,0.2001953125,0.0537109375,0.1455078125,0.111328125,0.14453125,0.0595703125,0.0341796875
0.048828125,0.005859375,0.3701171875,0.021484375,0.7783203125,0.2177734375,0.0244140625,0.0087890625,0.501953125,0.0087890625,0.001953125,0.16015625,0.0068359375,0.142578125,0.0419921875,0.0703125,0.00390625,0.0341796875,0.0478515625,0.0966796875,0.095703125,0.005859375,0.2060546875,0.017578125,0.0556640625,0.072265625,0.044921875,0.09375,0.0205078125,0.103515625,0.041015625,0.09375,0.3115234375,0.095703125,0.0029296875,0.0009765625,0.0537109375,0.0732421875,0.1552734375,0.021484375,0.0087890625,0.09765625,0.2412109375,0.015625,0.0244140625,0.2216796875,0.0283203125,0.005859375,0.5244140625,0.267578125
0.087890625,0.05078125,0.2001953125,0.0302734375,0.2177734375,0.7646484375,0.0244140625,0.0263671875,0.2490234375,0.01171875,0.0986328125,0.291015625,0.017578125,0.0859375,0.08203125,0.060546875,0.0078125,0.0263671875,0.029296875,0.126953125,0.0224609375,0.00390625,0.2099609375,0.0078125,0.01953125,0.15625,0.001953125,0.2734375,0.009765625,0.060546875,0.1484375,0.0673828125,0.1123046875,0.4130859375,0.0078125,0.0,0.044921875,0.0107421875,0.095703125,0.056640625,0.0263671875,0.0302734375,0.1201171875,0.0146484375,0.03125,0.1923828125,0.0380859375,0.00390625,0.236328125,0.021484375
0.0234375,0.033203125,0.0048828125,0.0556640625,0.0244140625,0.0244140625,0.751953125,0.0751953125,0.10546875,0.0009765625,0.111328125,0.021484375,0.1142578125,0.001953125,0.12109375,0.3173828125,0.2431640625,0.0,0.359375,0.33984375,0.1103515625,0.029296875,0.025390625,0.3701171875,0.0390625,0.0146484375,0.0068359375,0.0,0.1787109375,0.09765625,0.208984375,0.2080078125,0.021484375,0.0205078125,0.0029296875,0.0078125,0.435546875,0.013671875,0.0048828125,0.0966796875,0.001953125,0.1533203125,0.103515625,0.0556640625,0.435546875,0.087890625,0.0498046875,0.0986328125,0.087890625,0.0048828125
0.0205078125,0.068359375,0.0712890625,0.0380859375,0.0087890625,0.0263671875,0.0751953125,0.7880859375,0.01171875,0.0048828125,0.1005859375,0.041015625,0.0087890625,0.0224609375,0.0244140625,0.181640625,0.140625,0.001953125,0.1025390625,0.138671875,0.0009765625,0.0048828125,0.04296875,0.103515625,0.001953125,0.06640625,0.021484375,0.0126953125,0.00390625,0.0712890625,0.3134765625,0.0458984375,0.0283203125,0.009765625,0.0263671875,0.0029296875,0.068359375,0.0029296875,0.0009765625,0.5263671875,0.0048828125,0.0322265625,0.111328125,0.001953125,0.318359375,0.037109375,0.5185546875,0.0029296875,0.0341796875,0.0
0.1806640625,0.0234375,0.25390625,0.0732421875,0.501953125,0.2490234375,0.10546875,0.01171875,0.7421875,0.0087890625,0.0205078125,0.4033203125,0.0244140625,0.1689453125,0.0478515625,0.080078125,0.0068359375,0.0244140625,0.083984375,0.2099609375,0.1064453125,0.0107421875,0.4111328125,0.0361328125,0.1103515625,0.099609375,0.0126953125,0.14453125,0.0859375,0.064453125,0.0859375,0.1005859375,0.4365234375,0.0732421875,0.001953125,0.00390625,0.07421875,0.0654296875,0.287109375,0.0263671875,0.03125,0.09375,0.13671875,0.0615234375,0.0380859375,0.2734375,0.0244140625,0.009765625,0.4638671875,0.322265625
0.0751953125,0.0400390625,0.0546875,0.0078125,0.0087890625,0.01171875,0.0009765625,0.0048828125,0.0087890625,0.775390625,0.0244140625,0.0087890625,0.0107421875,0.13671875,0.0068359375,0.00390625,0.017578125,0.2978515625,0.0009765625,0.01953125,0.0341796875,0.03125,0.0185546875,0.0009765625,0.0712890625,0.146484375,0.029296875,0.013671875,0.021484375,0.046875,0.0068359375,0.0068359375,0.037109375,0.015625,0.1845703125,0.1279296875,0.0009765625,0.0048828125,0.0078125,0.0,0.326171875,0.0107421875,0.0048828125,0.0908203125,0.0029296875,0.0390625,0.021484375,0.017578125,0.0390625,0.001953125
